la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
00-CN,Birmingham District,0.00%,0.00%,0.12%,99.88%,0.15%,1.42%,13.68%,84.75%,0.00%,0.19%,0.83%,98.98%,0.73%,2.70%,15.30%,81.27%,0.73%,2.70%,15.30%,81.27%,0.00%,0.00%,5.88%,94.12%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.31%,4.09%,95.60%,0.00%,0.00%,0.00%,0.47%,99.52%,0.00%,0.14%,1.21%,7.99%,90.66%,0.00%,0.03%,0.61%,4.87%,94.50%,0.00%,0.00%,0.00%,4.20%,95.80%,0.00%,0.00%,0.00%,0.18%,99.81%,0.00%,0.00%,0.53%,4.29%,95.18%,0.00%,0.00%,0.01%,0.35%,99.65%,0.00%,0.00%,1.17%,6.94%,91.89%,0.00%,0.00%,0.69%,5.48%,93.84%,0.00%,0.00%,0.42%,0.84%,98.74%
00-EX,Blackburn with Darwen,0.02%,0.29%,2.10%,97.59%,0.45%,2.79%,14.45%,82.30%,1.93%,4.13%,13.77%,80.17%,10.35%,14.90%,26.72%,48.03%,10.35%,14.90%,26.72%,48.03%,0.00%,0.00%,18.89%,81.11%,0.00%,0.01%,0.05%,0.49%,99.45%,0.08%,0.31%,1.11%,4.54%,93.96%,0.03%,0.82%,2.38%,7.83%,88.95%,3.69%,5.56%,9.87%,19.10%,61.77%,3.56%,5.86%,5.29%,14.48%,70.80%,0.00%,0.00%,5.56%,23.33%,71.11%,0.00%,0.11%,0.51%,0.82%,98.56%,0.05%,0.69%,3.17%,3.40%,92.70%,0.41%,2.23%,5.96%,8.04%,83.37%,4.87%,9.33%,15.99%,12.63%,57.19%,7.47%,6.90%,7.01%,8.28%,70.34%,0.00%,0.00%,14.44%,13.33%,72.22%
00-EY,Blackpool,0.00%,0.00%,0.73%,99.27%,0.07%,1.67%,22.27%,75.99%,0.00%,0.00%,0.60%,99.40%,0.09%,1.62%,19.81%,78.48%,0.09%,1.62%,19.81%,78.48%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.75%,99.25%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.16%,97.84%,0.00%,0.00%,0.00%,1.86%,98.14%,0.00%,0.00%,0.00%,33.33%,66.67%,0.00%,0.00%,0.00%,1.85%,98.15%,0.00%,0.00%,3.16%,8.62%,88.22%,0.00%,0.00%,0.00%,1.19%,98.81%,0.00%,0.00%,2.73%,8.93%,88.35%,0.00%,0.00%,4.35%,4.04%,91.61%,0.00%,0.00%,0.00%,0.00%,100.00%
00-PL,Blaenau Gwent - Blaenau Gwent,0.02%,1.19%,7.51%,91.28%,0.33%,7.18%,30.54%,61.95%,1.31%,3.08%,8.92%,86.70%,6.58%,13.06%,24.48%,55.88%,6.58%,13.06%,24.48%,55.88%,,,,,0.03%,0.85%,2.32%,12.22%,84.59%,3.14%,1.91%,5.31%,23.72%,65.92%,0.05%,1.17%,2.71%,10.25%,85.82%,2.84%,5.00%,10.72%,24.77%,56.67%,2.30%,6.42%,12.71%,21.55%,57.02%,,,,,,0.19%,21.53%,25.79%,40.09%,12.39%,2.06%,31.42%,30.44%,26.40%,9.68%,2.75%,11.18%,25.30%,43.88%,16.90%,8.77%,30.53%,31.75%,22.78%,6.17%,8.35%,37.29%,32.81%,17.80%,3.75%,,,,,
00-BL,Bolton District,0.00%,0.00%,0.92%,99.08%,0.07%,2.24%,17.21%,80.49%,0.00%,0.10%,1.56%,98.34%,0.72%,5.42%,19.50%,74.36%,0.72%,5.42%,19.50%,74.36%,0.00%,0.49%,12.81%,86.70%,0.00%,0.00%,0.00%,0.13%,99.87%,0.00%,0.00%,0.57%,5.07%,94.36%,0.00%,0.00%,0.01%,0.41%,99.58%,0.01%,0.09%,0.96%,10.24%,88.70%,0.00%,0.00%,0.58%,7.36%,92.05%,0.00%,0.00%,0.00%,12.81%,87.19%,0.00%,0.00%,0.00%,0.08%,99.92%,0.00%,0.01%,0.59%,5.77%,93.63%,0.00%,0.00%,0.00%,0.27%,99.73%,0.00%,0.07%,1.18%,6.90%,91.86%,0.00%,0.00%,0.47%,5.49%,94.04%,0.00%,0.00%,0.99%,0.99%,98.03%
00-HN,Bournemouth,0.00%,0.00%,0.40%,99.60%,0.09%,1.49%,18.90%,79.53%,0.00%,0.00%,0.52%,99.48%,0.19%,3.01%,21.73%,75.08%,0.19%,3.01%,21.73%,75.08%,,,,,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.61%,3.40%,95.99%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.88%,6.44%,92.68%,0.00%,0.00%,0.34%,4.40%,95.26%,,,,,,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.06%,2.98%,96.96%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.09%,3.35%,96.57%,0.00%,0.00%,0.00%,4.74%,95.26%,,,,,
00-MA,Bracknell Forest,0.00%,0.00%,1.63%,98.36%,0.42%,1.73%,24.97%,72.87%,1.25%,2.88%,12.08%,83.79%,13.08%,12.25%,30.60%,44.06%,13.08%,12.25%,30.60%,44.06%,0.00%,0.00%,20.00%,80.00%,0.00%,0.00%,0.31%,0.79%,98.91%,0.00%,0.55%,1.12%,5.00%,93.33%,0.00%,0.00%,0.83%,8.18%,90.99%,1.67%,3.15%,12.93%,23.92%,58.33%,0.00%,1.96%,7.02%,17.59%,73.43%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.11%,98.89%,0.11%,0.33%,1.92%,34.12%,63.52%,0.00%,0.05%,0.83%,3.16%,95.96%,0.13%,5.19%,8.38%,27.81%,58.49%,0.09%,1.78%,5.80%,35.27%,57.06%,0.00%,0.00%,0.00%,0.00%,100.00%
00-CX,Bradford District,0.01%,0.05%,0.99%,98.95%,0.39%,2.18%,13.00%,84.43%,0.35%,1.12%,3.76%,94.77%,4.76%,7.97%,18.03%,69.25%,4.76%,7.97%,18.03%,69.25%,0.00%,0.00%,2.78%,97.22%,0.00%,0.00%,0.06%,0.20%,99.75%,0.01%,0.06%,0.72%,4.07%,95.14%,0.02%,0.06%,0.41%,2.39%,97.13%,0.57%,1.20%,3.64%,10.64%,83.96%,0.15%,0.07%,1.93%,6.30%,91.55%,0.00%,0.00%,0.00%,27.78%,72.22%,0.00%,0.06%,0.10%,0.53%,99.31%,0.05%,0.46%,1.10%,4.96%,93.43%,0.04%,0.16%,0.44%,1.76%,97.60%,0.68%,2.45%,2.85%,9.42%,84.60%,0.19%,1.30%,1.67%,9.60%,87.25%,0.00%,0.00%,0.00%,0.00%,100.00%
00-PB,Pen-y-bont ar Ogwr - Bridgend,0.14%,1.50%,9.71%,88.64%,4.16%,17.05%,36.05%,42.73%,1.80%,7.14%,16.94%,74.11%,9.99%,23.07%,31.33%,35.60%,9.99%,23.07%,31.33%,35.60%,0.00%,8.60%,17.19%,74.21%,0.00%,0.01%,1.62%,10.71%,87.66%,0.16%,1.16%,7.80%,24.65%,66.22%,0.24%,0.79%,5.37%,17.38%,76.23%,2.84%,6.16%,17.27%,28.73%,45.00%,0.41%,2.84%,18.82%,27.35%,50.58%,0.00%,0.45%,1.36%,18.10%,80.09%,4.21%,5.10%,6.35%,15.51%,68.83%,5.69%,8.58%,25.80%,24.28%,35.66%,3.57%,9.73%,15.70%,13.50%,57.50%,9.32%,17.58%,31.40%,13.96%,27.74%,11.44%,16.99%,21.60%,15.44%,34.53%,0.00%,0.45%,7.69%,17.65%,74.21%
11-00,Buckinghamshire County,0.20%,0.63%,4.41%,94.76%,3.84%,6.86%,20.48%,68.82%,1.63%,4.15%,11.99%,82.22%,14.51%,19.37%,28.31%,37.81%,14.51%,19.37%,28.31%,37.81%,0.00%,0.68%,14.46%,84.86%,0.00%,0.05%,0.53%,3.19%,96.22%,0.85%,1.54%,5.37%,13.31%,78.93%,0.17%,0.57%,1.92%,8.82%,88.53%,3.63%,6.42%,14.14%,28.40%,47.41%,0.71%,1.93%,7.16%,25.48%,64.72%,0.00%,0.00%,1.23%,11.60%,87.18%,0.00%,0.06%,0.75%,3.70%,95.50%,0.24%,2.36%,8.29%,12.74%,76.37%,0.05%,0.58%,2.61%,8.34%,88.41%,1.66%,7.28%,18.37%,18.32%,54.37%,0.26%,3.53%,13.41%,15.39%,67.41%,0.00%,0.14%,9.00%,14.60%,76.26%
00-BM,Bury District,0.00%,0.00%,0.67%,99.33%,0.06%,0.31%,9.77%,89.86%,0.08%,0.27%,3.82%,95.82%,1.49%,2.84%,15.16%,80.51%,1.49%,2.84%,15.16%,80.51%,0.00%,0.00%,3.98%,96.02%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.27%,6.17%,93.56%,0.00%,0.00%,0.03%,1.28%,98.69%,0.05%,0.17%,1.36%,9.56%,88.85%,0.00%,0.00%,0.29%,9.06%,90.64%,0.00%,0.00%,0.40%,3.98%,95.62%,0.00%,0.00%,0.00%,0.16%,99.84%,0.00%,0.00%,0.27%,1.94%,97.79%,0.00%,0.00%,0.06%,0.85%,99.09%,0.07%,0.31%,1.83%,6.19%,91.60%,0.00%,0.00%,0.78%,4.19%,95.03%,0.00%,0.00%,0.00%,0.00%,100.00%
00-PK,Caerffili - Caerphilly,0.59%,0.79%,5.74%,92.88%,2.01%,8.86%,33.01%,56.11%,2.33%,3.04%,9.75%,84.88%,7.61%,13.92%,28.62%,49.85%,7.61%,13.92%,28.62%,49.85%,,,,,0.00%,0.08%,2.88%,10.63%,86.41%,0.50%,1.44%,10.92%,29.07%,58.07%,0.85%,1.02%,5.09%,12.48%,80.57%,2.93%,5.24%,18.99%,26.32%,46.51%,0.16%,2.24%,18.81%,32.93%,45.86%,,,,,,7.82%,4.02%,13.56%,26.20%,48.40%,14.17%,8.57%,36.54%,21.83%,18.89%,6.66%,9.58%,16.75%,17.41%,49.60%,14.50%,16.27%,31.11%,17.78%,20.34%,19.44%,18.19%,29.44%,17.04%,15.89%,,,,,
00-CY,Calderdale District,0.08%,0.50%,2.26%,97.16%,0.81%,3.33%,13.74%,82.12%,4.57%,5.44%,8.42%,81.57%,15.34%,14.80%,16.33%,53.54%,15.34%,14.80%,16.33%,53.54%,0.00%,0.00%,0.60%,99.40%,0.00%,0.01%,0.26%,1.58%,98.14%,0.08%,0.35%,1.41%,8.26%,89.90%,0.44%,1.36%,5.65%,8.46%,84.08%,5.78%,4.88%,8.88%,14.95%,65.52%,0.00%,0.29%,4.57%,15.95%,79.18%,0.00%,0.00%,0.00%,5.99%,94.01%,0.05%,0.51%,2.30%,6.64%,90.50%,0.18%,2.26%,3.65%,17.08%,76.83%,0.84%,2.02%,6.33%,16.49%,74.32%,6.68%,7.61%,11.33%,23.00%,51.38%,0.34%,7.64%,8.46%,19.16%,64.40%,0.00%,0.00%,2.40%,5.99%,91.62%
12-00,Cambridgeshire County,0.34%,1.62%,9.52%,88.51%,7.88%,14.43%,27.41%,50.27%,0.23%,1.66%,11.83%,86.27%,17.97%,20.69%,26.17%,35.18%,17.97%,20.69%,26.17%,35.18%,0.18%,0.53%,10.19%,89.10%,0.01%,0.09%,2.54%,7.99%,89.37%,2.48%,4.56%,13.39%,18.41%,61.15%,0.00%,0.06%,1.36%,10.51%,88.06%,2.19%,7.37%,18.59%,34.13%,37.72%,2.41%,6.46%,17.11%,31.18%,42.84%,0.00%,0.00%,0.70%,11.95%,87.35%,0.76%,4.48%,4.92%,15.83%,74.01%,7.52%,11.39%,14.16%,20.28%,46.64%,0.11%,0.86%,3.24%,15.52%,80.27%,8.18%,13.97%,18.33%,22.66%,36.86%,8.10%,12.27%,17.69%,22.85%,39.10%,0.53%,5.10%,6.50%,10.37%,77.50%
